company_name,deg_weighted,deg_centrality,betweenness,eigenvector,clustering,success,total_raised,employees
Crash Override,24,0.1085972850678733,5.876476464711758e-07,0.003695531044447771,0.3336472476448005,82.0,26.55,20.0
Synctera,47,0.21266968325791857,2.3378621250766602e-05,0.04006949087532578,0.33742926827199704,90.0,60.4,101.0
Sandbox VR,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.33503400583636866,83.0,42.14,9.0
SkySafe,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.33503400583636866,88.0,58.97,41.0
Whatnot,113,0.4886877828054299,0.016117587846281527,0.13094798669908747,0.19679776240434207,98.0,750.41,979.0
Auggie (Information Services (B2C)),53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,,2.58,
Safe Superintelligence,167,0.6742081447963801,0.0358019105077928,0.18429115791463263,0.15546524625678848,98.0,3000.0,20.0
Ambient.ai,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.33503400583636866,79.0,165.12,127.0
Rain (Financial Software),47,0.21266968325791857,2.3378621250766602e-05,0.04006949087532578,0.33742926827199715,85.0,30.5,25.0
Rescale,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.3350340058363687,86.0,272.4,218.0
Fuse Finance,107,0.4796380090497738,0.06034484647787008,0.06766512491802708,0.17138271047985698,71.0,8.55,12.0
Binance,54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.3372145564068762,86.0,2021.82,9204.0
Cameo,47,0.21266968325791857,2.3378621250766602e-05,0.04006949087532578,0.3374292682719971,95.0,206.6,50.0
Abridge,71,0.31674208144796384,0.030772825253050324,0.04318375798870847,0.1925407520219376,85.0,463.9,188.0
Bizongo,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,97.0,337.57,320.0
Spinny,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,98.0,647.61,3945.0
Create (Software Development Applications),24,0.1085972850678733,5.876476464711758e-07,0.003695531044447771,0.3336472476448005,62.0,14.0,10.0
Peregrine,54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.3372145564068762,96.0,252.7,190.0
Juspay,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,94.0,148.34,1635.0
Instabase,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.33503400583636866,76.0,16.74,27.0
SquareX (Network Management Software),54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.3372145564068762,85.0,26.0,4.0
Craftwork,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.33503400583636866,88.0,126.8,800.0
Render,24,0.1085972850678733,5.876476464711758e-07,0.003695531044447771,0.3336472476448005,95.0,162.75,117.0
Zocks,47,0.21266968325791857,2.3378621250766602e-05,0.04006949087532578,0.3374292682719971,92.0,19.3,47.0
Krea (Multimedia and Design Software),66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.33503400583636866,87.0,82.73,9.0
Provable,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.33503400583636866,92.0,228.48,30.0
Zepto,47,0.21266968325791857,2.3378621250766602e-05,0.04006949087532578,0.3374292682719971,74.0,1970.13,3000.0
